License ID,Trade Name,Address,City,State,Zip Code,Report Type
X14533,1026 beverage co,839 S Beacon St,San Pedro,CA,90731,Unlicensed Supplier
X11997,117 LLC,1352 Main Street Suite 1,Rutherford,CA,94573,Unlicensed Supplier
X15111,1413 VALA  AVENUE,,Napa,CA,94559,Unlicensed Supplier
X14269,2 X 4 BREWING & IMPORTS,1635 S 7th Steet,San Jose,CA,95112,Unlicensed Supplier
B00494,2 X 4 Brewing & Imports,1635 S 7th St,San Jose,CA,95112,Unlicensed Supplier
X14447,3 Badge Enology,32 Pattern St,Sonoma,CA,95476,Unlicensed Supplier
X14301,30211 Avenida de las Banderas,,Rancho Santa Margarita,CA,92688,Unlicensed Supplier
X11186,585 Wine Partners,585 First Street West,Sonoma,CA,95476,Unlicensed Supplier
X16349,689 Cellars,135 Third Street Suite 100,San Rafael,CA,94901,Unlicensed Supplier
X14780,8 VINI INC,1250 BUSINESS CENTER DRIVE,SAN LEANDRO,CA,94577,Unlicensed Supplier
X13827,8th Street East Sonoma Holdings Winery LLC,21684 E 8th St Ste 440 & 450,Sonoma,CA,95476,Unlicensed Supplier
X11692,A & B Estate Wines,6482 Mirabel Rd Unit 11,Forestville,CA,95436,Unlicensed Supplier
X11462,A Donkey and Goat Winery,2323 B Fourth Street,Berkeley,CA,94710,Unlicensed Supplier
X11775,A P Vin,622 Treat Avenue,San Francisco,CA,94110,Unlicensed Supplier
X14554,A Tribute to Grace Wine Co,216 Price Ranch Rd,Los Alamos,CA,93440,Unlicensed Supplier
X12146,A W Direct LLC,980 Airway Court,Santa Rosa,CA,95403,Unlicensed Supplier
X12191,ADS Wiines,712 Bancroft Rd #463,Walnut Creek,CA,94598,Unlicensed Supplier
X17289,ADVERSITY CELLARS,1390 SILVERADO TRAIL,SAINT HELENA,CA,94574,Unlicensed Supplier
X11987,AH Wines,2715 W Kettleman LN Ste 203 325,Lodi,CA,95242,Unlicensed Supplier
B00533,ALESMITH BREWING COMPANY,9990 ALESMITH CT,SAN DIEGO,CA,92126,Unlicensed Supplier
X15529,ALEXANDRIE CELLARS,499 MOORE LN,HEALDSBURG,CA,95448,Unlicensed Supplier
X15983,AMERICAN VINTNERS LLC,1010 INDUSTRIAL WAY,KING CITY,CA,93930,Unlicensed Supplier
X15817,ANTHONY BOZZANO LLC,672 HOWARD ST,SAN LUIS OBISPO,CA,93401,Unlicensed Supplier
X11489,ANZ Wines Connection Inc,5845 Avenita Encinas S 136,Carisbad,CA,92008,Unlicensed Supplier
X14729,APPELLATION TRADING COMPANY LLC,"55 Enterprise Court, Suite 5",Napa,CA,94558,Unlicensed Supplier
X16923,ARIL WINES,7830 ST HELENA WAY,OAKVILLE,CA,94562,Unlicensed Supplier
X14482,ARTESANA,2630 PORTALO DRIVE #13,SANTA CRUZ,CA,95062,Unlicensed Supplier
X03037,ASV Wines Inc,1998 Road 152,Delano,CA,93215,Unlicensed Supplier
X16325,AUSA PACIFIC LLC,1471 1st Street,Calistoga,CA,94515-1410,Unlicensed Supplier
X14904,AVID WINERY,2064 GRAVENSTEIN HY,SEBASTOPOL,CA,95475,Unlicensed Supplier
X11044,Abigail Adams Wine Company,P O Box 2200,Yountville,CA,94599,Unlicensed Supplier
X03441,Abiouness Wines,2041 Olive Avenue,Saint Helena,CA,94574,Unlicensed Supplier
X02424,Abreu Vineyards,156 Main Street,St Helena,CA,94574,Unlicensed Supplier
X02654,Abundance Vineyards,21482 North Ray Road,Lodi,CA,95242,Unlicensed Supplier
X03439,Access Beverage LLC,2600 Michelson Drive Suite 970,Irvine,CA,92612,Unlicensed Supplier
X13188,Accolade Wines of North America Inc,349 Healdsburg Avenue,Healdsburg,CA,95448,Unlicensed Supplier
X10889,Acme Wine Marketing,4983 Sonoma Hwy Ste J,Santa Rosa,CA,95409,Unlicensed Supplier
X15528,Acre Wines,229 Lucas Valley Roads,Rafael,CA,94903,Unlicensed Supplier
X14619,Acumen Wine,3265 Soda Canyon Road,Napa,CA,94558,Unlicensed Supplier
X13545,Adamvs,501 White Cottage Road N,Angwin,CA,94508,Unlicensed Supplier
X02425,Adastra Wines,2545 Las Amigas Road,Napa,CA,94559,Unlicensed Supplier
X15377,Addax Wines,1339 Pearl St,Napa,CA,94559,Unlicensed Supplier
X10551,Adelaida Cellars,5805 Adelaida Road,Paso Robles,CA,93446,Unlicensed Supplier
X00857,Adler Fels Winery,5325 Corrick Lane,Santa Rosa,CA,95409,Unlicensed Supplier
X12392,Adobe Creek Wine,1250 N McDowell Blvd,Petaluna,CA,94954,Unlicensed Supplier
X13971,Adobe Road Winery,1995 S McDowell Blvd,Petaluma,CA,94954,Unlicensed Supplier
X03164,Adrian Fog,P O Box 1706,Healdsburg,CA,95448,Unlicensed Supplier
X02250,Adventures In Wine,440 Talbert Street,Daly City,CA,94014,Unlicensed Supplier
X12622,Aerovin LLC,1550 Airport Blvd Suite 120,Santa Rosa,CA,95403,Unlicensed Supplier
X01625,Aficionado Cellars,P O Box 9430,Santa Rosa,CA,95405,Unlicensed Supplier
X11896,Agua Dulce Vineyards,9640 Sierra Highway,Agua Dulce,CA,91390,Unlicensed Supplier
X10995,Ahnfeldt Wines,PO Box 6078,Napa,CA,94581,Unlicensed Supplier
X12614,Alambic Inc,P O Box 1059,Ukiah,CA,95482,Unlicensed Supplier
X03544,Alban Vineyards Inc,87575 Orcutt Road,Arroyo Grande,CA,93420,Unlicensed Supplier
X13137,Alcohol by Volume,2600 Garden Road Suite 410,Monterey,CA,93940,Unlicensed Supplier
X00844,Alderbrook Winery,2306 Magnolia Drive,Healdsburg,CA,95448,Unlicensed Supplier
X11346,Alex Sotelo Cellars,770 Skyway Ct,Napa,CA,94558,Unlicensed Supplier
X13790,Alexana Winery,2930 St Helena Hwy North,St Helena,CA,94574,Unlicensed Supplier
X13900,Alexander Jules,2118 Wilshire Blvd #903,Santa Monica,CA,90403,Unlicensed Supplier
X15884,Alexander Valley Cellars,1010 Shiloh Rd,Windsor,CA,95492,Unlicensed Supplier
X01110,Alexander Valley Vineyard,8644 Highway 128,Healdsburg,CA,95448,Unlicensed Supplier
X16816,Alexis George Wines,27 E Vine Street,Lodi,CA,95240,Unlicensed Supplier
X13913,Alfaro Family Vineyards,420 Hames Rd,Watsonville,CA,95076,Unlicensed Supplier
X16697,Allegetto Wines,3502 Dry Creek Road,Paso Robles,CA,93446,Unlicensed Supplier
B00755,Almanac Beer Co,651 B W Tower Ave,Alameda,CA,94501,Unlicensed Supplier
X13632,Aloft Winery,2800 Main Street,St Helena,CA,94574,Unlicensed Supplier
X01776,Alois Lageder Winery,1616 Buhman Avenue,Napa,CA,94558,Unlicensed Supplier
X11086,Alpha & Omega Winery LLC,P O Box 822,Rutherford,CA,94573,Unlicensed Supplier
X11110,Alphawolf Ranch,6595 Gordon Valley Road,Napa,CA,94558,Unlicensed Supplier
X15274,Alquimista Cellar,2238 Schaeffler Rd,Sebastopol,CA,95472,Unlicensed Supplier
X11237,Alta Marketing,PO Box 6025,El Monte,CA,91734,Unlicensed Supplier
B00661,Alvarado Street Brewery,426 Alvarado St.,Monterey,CA,93940,Unlicensed Supplier
X12159,Alysian Wines,P O Box 1189,Forestville,CA,95436,Unlicensed Supplier
