License ID,Brand Name,Product Type
"90039","071","Wine",
"90039","10,000 HOURS","Wine",
"90039","100 NAILS RANCH","Wine",
"90039","1000 STORIES","Wine",
"90039","13 RAMS","Wine",
"90039","1790","Wine",
"90039","1797","Wine",
"90039","1865 SAN PEDRO","Wine",
"90039","1881 NAPA","Wine",
"90039","1883","Wine",
"90039","19 CRIMES","Wine",
"90039","1906 VINTNERS","Wine",
"90039","1907","Wine",
"90039","2 CANOS","Wine",
"90039","3 GIRLS","Wine",
"90039","3 KINGS BY SHANNON RIDGE","Wine",
"90039","3 REIN","Wine",
"90039","3 RINGS","Wine",
"90039","30 MILES","Wine",
"90039","4 CELLARS","Wine",
"90039","4 DECADES","Wine",
"90039","5 OROS","Wine",
"90039","50 HARVEST","Wine",
"90039","642","Wine",
"90039","689 CELLARS","Wine",
"90039","7 HEAVENLY CHARDS","Wine",
"90039","75864 MILES","Wine",
"90039","8 PLUMAS","Wine",
"90039","9 DOT 5","Wine",
"90039","90 PT CLUB","Wine",
"90039","90+ CELLARS","Wine",
"90039","A C SRL","Wine",
"90039","A CRISP","Wine",
"90039","A G PERINO","Wine",
"90039","A'PROPOS","Wine",
"90039","ABBAYE SYLVA PLANA","Wine",
"90039","ABBAZIA MONTE OLIVETO","Wine",
"90039","ABBEY OF SAINT HILAIRE","Wine",
"90039","ABBONA","Wine",
"90039","ABSTRACT","Wine",
"90039","ACACIA CA","Wine",
"90039","ACCLAIMED","Wine",
"90039","ACCOMPLICE","Wine",
"90039","ACHAVAL FERRER","Wine",
"90039","ACONGA","Wine",
"90039","ACRONYM","Wine",
"90039","AD LIB","Wine",
"90039","ADDENDUM","Wine",
"90039","ADORADA","Wine",
"90039","ADVENTURE SERIES","Wine",
"90039","AFFENTALER","Wine",
"90039","AFRICAN HILLS","Wine",
"90039","AFRICAN ROCK","Wine",
"90039","AGOSTINO","Wine",
"90039","AGRICOLE VALLONE","Wine",
"90039","AGROS","Wine",
"90039","AILA","Wine",
"90039","AIME ROQUESANTE","Wine",
"90039","AJ","Wine",
"90039","ALAIN BRUMONT","Wine",
"90039","ALAIN CHAVY","Wine",
"90039","ALAMOS","Wine",
"90039","ALAVIDA","Wine",
"90039","ALBERTO NANI","Wine",
"90039","ALBOLA","Wine",
"90039","ALCANZA","Wine",
"90039","ALCHEMIST","Wine",
"90039","ALDERBROOK","Wine",
"90039","ALEGRETE","Wine",
"90039","ALEJANDRO BULGHERONI","Wine",
"90039","ALEXANDER VALLEY VINEYARDS","Wine",
"90039","ALEXANDER VALLEY WINERY CO","Wine",
"90039","ALEXANDER VIK","Wine",
"90039","ALFREDO ROCA","Wine",
"90039","ALGORITHM","Wine",
"90039","ALL YOU NEED IS LOVE","Wine",
"90039","ALLEGRO CA","Wine",
"90039","ALLINI","Wine",
"90039","ALMA MORA","Wine",
"90039","ALMAVIVA","Wine",
"90039","ALMIRA","Wine",
"90039","ALMONDO","Wine",
"90039","ALTA LUNA","Wine",
"90039","ALTITUDE PROJECT","Wine",
"90039","ALTOS DE TAMARON","Wine",
"90039","ALTURA 1024","Wine",
"90039","ALVES DE SOUSA","Wine",
"90039","AMA NO TO","Wine",
"90039","AMABILE","Wine",
"90039","AMABOKO","Wine",
"90039","AMALAYA","Wine",
"90039","AMANCAYA","Wine",
"90039","AMAR CORE","Wine",
"90039","AMAYNA","Wine",
"90039","AMBERHILL","Wine",
"90039","AMBIENTE","Wine",
"90039","AMBIGUITY","Wine",
"90039","AMELIA","Wine",
"90039","AMITY VINEYARDS","Wine",
"90039","AMOR FATI WINE","Wine",
"90039","AMORANY","Wine",
"90039","AMORE DI AMANTI","Wine",
"90039","ANALIVIA","Wine",
"90039","ANARES","Wine",
"90039","ANDEAN WINERIES","Wine",
"90039","ANDES PEAKS","Wine",
"90039","ANDRE","Wine",
"90039","ANDRE LURTON","Wine",
"90039","ANDRETTI","Wine",
"90039","ANDREW","Wine",
"90039","ANGARO","Wine",
"90039","ANGEL'S CUP","Wine",
"90039","ANGEL'S INK","Wine",
"90039","ANGELS & COWBOYS","Wine",
"90039","ANGLADA DELEGER","Wine",
"90039","ANNA DE CODORNIU","Wine",
"90039","ANNIE'S LANE","Wine",
"90039","ANTHONY & DOMINIC","Wine",
"90039","ANTICA CASCINA","Wine",
"90039","ANTICA TERRA","Wine",
"90039","ANTOINE DELAUNE","Wine",
"90039","ANTONIN GUYON","Wine",
"90039","ANWILKA","Wine",
"90039","APOTHIC","Wine",
"90039","APRES SOL","Wine",
"90039","AQUILA","Wine",
"90039","AQUILINI","Wine",
"90039","AQUITANIA","Wine",
"90039","ARBOR CREST","Wine",
"90039","ARCH RIVAL WINE CO","Wine",
"90039","ARCHETYPE","Wine",
"90039","ARCS","Wine",
"90039","ARDEN","Wine",
"90039","ARENA LOCA","Wine",
"90039","ARESTEL","Wine",
"90039","AREYNA","Wine",
"90039","ARGIANO","Wine",
"90039","ARIANNA","Wine",
"90039","ARIENZO","Wine",
"90039","ARMAND DE BRIGNAC","Wine",
"90039","ARMILAR","Wine",
"90039","ARNOLD PALMER WINES","Wine",
"90039","AROSA","Wine",
"90039","ARROGANT FROG","Wine",
"90039","ARROW CREEK","Wine",
"90039","ARRUMACO","Wine",
"90039","ARTESA WINERY","Wine",
"90039","ARTEZIN","Wine",
"90039","ARTIFAKT","Wine",
"90039","ARTISENTO","Wine",
"90039","ARUMA","Wine",
"90039","ASHOKAWNA","Wine",
"90039","ASTORIA","Wine",
"90039","ASTROLABE","Wine",
"90039","ATACAMA","Wine",
"90039","ATELIER","Wine",
"90039","ATHENA","Wine",
"90039","ATLANTA HARD CIDER","Cider",
"90039","ATLAS PEAK","Wine",
"90039","ATOMIC BOSS","Wine",
"90039","ATTILIO GHISOLFI","Wine",
"90039","ATTITUDE JOLIVET","Wine",
"90039","AU","Wine",
"90039","AUGEY","Wine",
"90039","AUGMENT","Wine",
"90039","AUGUSTA KELLEREI","Wine",
"90039","AURELIE","Wine",
"90039","AURELIEN VERDET","Wine",
"90039","AURORA CELLARS","Wine",
"90039","AUSTERITY","Wine",
"90039","AV WINERY","Wine",
"90039","AVAILABLE","Wine",
"90039","AVALON","Wine",
"90039","AVANA","Low Alcohol Beverage",
"90039","AVELY LANE VINEYARDS","Wine",
"90039","AVERY LANE VINEYARDS","Wine",
"90039","AVILA","Wine",
"90039","AVIVO","Wine",
"90039","AZIENDA AGRICOLA FRATELLI RECCHIA","Wine",
"90039","AZIENDA AGRICOLA LOSI","Wine",
"90039","AZIENDA AGRICOLA REVA S.S.","Wine",
"90039","AZINHAGA","Wine",
"90039","AZZARO","Wine",
"90039","Azienda Agricola Simone Capecci","Wine",
"90039","B LIV","Wine",
"90039","B SIDE","Wine",
"90039","BACARDI","Low Alcohol Beverage",
"90039","BACHER","Wine",
"90039","BACKHOUSE","Wine",
"90039","BACKPACK WINE","Wine",
"90039","BACON","Wine",
"90039","BAD JUANITA'S","Low Alcohol Beverage",
"90039","BALKAN CREST","Wine",
"90039","BALLATORE","Wine",
"90039","BALTHASAR RESS","Wine",
"90039","BANDIERA","Wine",
"90039","BANDON","Wine",
"90039","BANROCK STATION","Wine",
"90039","BARBED WIRE","Wine",
"90039","BAREFOOT","Wine",
"90039","BAREFOOT BUBBLY","Wine",
"90039","BAREFOOT CELLARS","Wine",
"90039","BAREFOOT HARD SELTZER","Wine",
"90039","BAREFOOT MOSCATO","Wine",
"90039","BAREFOOT REFRESH","Wine",
"90039","BAREFOOT SPRITZER","Wine",
"90039","BAREFOOT WINE HARD SELTZER","Wine",
"90039","BARKAN","Wine",
"90039","BARNWOOD","Wine",
"90039","BARON AMARILLO","Wine",
"90039","BARON DE ESCAL","Wine",
"90039","BARON DE LEY","Wine",
"90039","BARON HERZOG","Wine",
"90039","BARONCINI","Wine",
"90039","BARONE FINI","Wine",
"90039","BARONS EDMOND ET BENJAMIN DE ROTHSCHILD","Wine",
"90039","BAROSSA JACK","Wine",
"90039","BAROSSA VALLEY ESTATE","Wine",
"90039","BARRE FRERES","Wine",
"90039","BARREL AXE","Wine",
"90039","BARREL BOX","Wine",
"90039","BARRINGTON ESTATE","Wine",
"90039","BARTENURA","Wine",
"90039","BARTLES & JAYMES","Wine",
"90039","BARTON & GUESTIER","Wine",
"90039","BATCH NO 198","Wine",
"90039","BATITU","Wine",
"90039","BATURRICA","Wine",
"90039","BAZELET HA GOLAN","Wine",
"90039","BE HUMAN","Wine",
"90039","BE.","Wine",
"90039","BEACH COLADA","Wine",
"90039","BEACH DAI Q RI","Wine",
"90039","BEAR BROS","Wine",
"90039","BEAR FLAG","Wine",
"90039","BEAU JARDIN","Wine",
"90039","BEAULIEU VINEYARD","Wine",
"90039","BEAUTIFUL DRINKS CO","Low Alcohol Beverage",
"90039","BECHTHEIMER PILGERPFAD","Wine",
"90039","BEE'S KNEES","Wine",
"90039","BEER BROS","Wine",
"90039","BEL A CIAO","Wine",
"90039","BEL ARBOR VINEYARDS","Wine",
"90039","BEL ROSE","Wine",
"90039","BELCREME DE LYS","Wine",
"90039","BELFORD SPRINGS","Wine",
