License ID,Brand Name,Product Type
"13258336","100 NAILS RANCH","Wine",
"13258336","CASTELLO DEL POGGIO","Wine",
"13258336","COCKBURN'S","Wine",
"13258336","DONA PAULA","Wine",
"13258336","FEUDO PRINCIPI DI BUTERA","Wine",
"13258336","LE PETIT PERROY","Wine",
"13258336","MARQUES DE RISCAL","Wine",
"13258336","MASSERIA ALTEMURA","Wine",
"13258336","OLG","Wine",
"13258336","OUTLANDER","Wine",
"13258336","PAINTED SCARS","Wine",
"13258336","PRIMO AMORE","Wine",
"13258336","PROEMIO","Wine",
"13258336","ROCCA DI MONTEMASSI","Wine",
"13258336","VOCHE","Wine",
"13258336","ZONIN","Wine",
