License ID,Trade Name,Address,City,State,Zip Code,Report Type
"753721","1480 B C Farm Brewery","10075  Lees Mill RD","Warrenton","VA","20186","Beer Shipper - In State (Industry)",
"752875","2 Silos Brewing Co","9925  Discovery BLVD","Manassas","VA","20109","Beer Shipper - In State (Industry)",
"095297","50 West Winery and Vineyards","39060  John Mosby HWY","Middleburg","VA","20117","Beer Shipper - In State (Industry)",
"088526","6 Bears & A Goat Brewing Company","1140  International PKWY","Fredericksburg","VA","22406-1126","Beer Shipper - In State (Industry)",
"132581","600 Vineyard and Winery","14035  Kendall RD","Orange","VA","22960","Beer Shipper - In State (Industry)",
"756616","8 Chains North","38593  Daymont LN","Waterford","VA","20197","Beer Shipper - In State (Industry)",
"081296","868 Estate Vineyards","14001  Harpers Ferry RD","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"136105","Above Ground Winery","975  McKinley Rd RD","Middlebrook","VA","24459","Beer Shipper - In State (Industry)",
"135204","Afton Mountain Vineyards","234  Vineyard LN","Afton","VA","22920","Beer Shipper - In State (Industry)",
"068522","Albemarle CiderWorks","2545  Rural Ridge LN","North Garden","VA","22959","Beer Shipper - In State (Industry)",
"068200","Ankida Ridge Vineyards","1304  Franklin Creek RD","Amherst","VA","24521","Beer Shipper - In State (Industry)",
"057643","Arrowine Inc","4508  Lee HWY","Arlington","VA","22207","Beer Shipper - In State (Industry)",
"135247","Artemisia Farm & Vineyard","5628  Gooney Manor LOOP","Bentonville","VA","22610","Beer Shipper - In State (Industry)",
"087466","Arterra","1808  Leeds Manor RD","Delaplane","VA","20144","Beer Shipper - In State (Industry)",
"087434","Ashton Creek Vineyard","14501  Jefferson Davis HWY","Chester","VA","23831","Beer Shipper - In State (Industry)",
"133020","BOLD ROCK PARTNERS LP","1020  ROCKFISH VALLEY HWY","NELLYSFORD","VA","22958","Beer Shipper - In State (Industry)",
"027678","Barboursville Vineyards","17655  Winery RD","Barboursville","VA","22923","Beer Shipper - In State (Industry)",
"049166","Barrel Oak Winery","3623  Grove LN","Delaplane","VA","20144","Beer Shipper - In State (Industry)",
"134779","Barrel Thief Wine & Provisions","5805  Patterson AVE","Richmond","VA","23226","Beer Shipper - In State (Industry)",
"068245","Barren Ridge Vineyards","984  Barrenridge RD","Fishersville","VA","22939-3026","Beer Shipper - In State (Industry)",
"081426","Beliveau Estate Winery","3899  Eakin Farm RD","Blacksburg","VA","24060","Beer Shipper - In State (Industry)",
"091062","Big Fish Cider Co","59  Spruce ST","Monterey","VA","24465","Beer Shipper - In State (Industry)",
"032556","Blenhein Vineyards LLC","31  Blenheim Farm N/A","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"751042","Bleu Frog Vineyards LLC","16413  James Monroe HWY","Leesburg","VA","20176","Beer Shipper - In State (Industry)",
"134499","Blindhouse Beer Company","534 SW Salem AVE","Roanoke","VA","24016","Beer Shipper - In State (Industry)",
"133874","Blue Bee Cider","4811  Bethlehem RD","Richmond","VA","23230","Beer Shipper - In State (Industry)",
"133020","Blue Mountain Barrel House and Organic Brewery L","495  Cooperative WAY","Arrington","VA","22922","Beer Shipper - In State (Industry)",
"047951","Bluemont Vineyard","18755  Foggy Bottom RD","Bluemont","VA","20135","Beer Shipper - In State (Industry)",
"079068","Bluestone Vineyard","4828  Spring Creek RD","Bridgewater","VA","22812-3633","Beer Shipper - In State (Industry)",
"755217","BottleHouse","608 W Main ST","Charlottesville","VA","22903","Beer Shipper - In State (Industry)",
"754448","Bottles & Bites","2641  Lake Retreat RD","Huddleston","VA","24101","Beer Shipper - In State (Industry)",
"049891","Boxwood Winery LLC","2042  Burrland LN","The Plains","VA","20198","Beer Shipper - In State (Industry)",
"754607","Bozzellis Italian Deli","8091  Alban RD","Springfield","VA","22150","Beer Shipper - In State (Industry)",
"092762","Bozzo Family Vineyards","35226  Charles Town PIKE","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"027712","Breaux Vineyards Potomac Wine Cellars","36888  Breaux Vineyards LN","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"136080","Breezy Hill Meadworks","15981  Breezy Hill LN","Smithfield","VA","23430","Beer Shipper - In State (Industry)",
"090023","Brix and Columns Vineyards","1501  Dave Berry RD","Mc Gaheysville","VA","22840-2391","Beer Shipper - In State (Industry)",
"082919","Brooks Mill Winery","6221  Brooks Mill RD","Wirtz","VA","24184","Beer Shipper - In State (Industry)",
"756599","Burnbrae Vineyards","3524  Cottontown RD","Forest","VA","24551","Beer Shipper - In State (Industry)",
"027579","Burnley Vineyards","4500  Winery LN","Barboursville","VA","22923","Beer Shipper - In State (Industry)",
"082091","Cana Vineyards and Winery of Middleburg","38600  John Mosby HWY","Middleburg","VA","20117-2916","Beer Shipper - In State (Industry)",
"136504","Capital Sculpture Garden & Winery","13967  Berlin TPKE","Lovettsville","VA","20180","Beer Shipper - In State (Industry)",
"133951","Capstone Vineyards LLC","13400  Crimson LN","Linden","VA","22642","Beer Shipper - In State (Industry)",
"027612","Cardinal Point Vineyard","9429  Batesville RD","Afton","VA","22920","Beer Shipper - In State (Industry)",
"133257","Carriage House Wine Works","40817  Brown LN","Waterford","VA","20197","Beer Shipper - In State (Industry)",
"062742","Casanel Vineyard","17956  Canby RD","Leesburg","VA","20175-6912","Beer Shipper - In State (Industry)",
"088195","Castle Glen Estates Farm & Winery LLC","18185  Narrow Path TRL","Doswell","VA","23047-1526","Beer Shipper - In State (Industry)",
"069964","Castle Hill Cider","6065  Turkey Sag RD","Keswick","VA","22947","Beer Shipper - In State (Industry)",
"094521","Cave Ridge Vineyard LLC","1476  Conicville RD","Mount Jackson","VA","22842","Beer Shipper - In State (Industry)",
"753451","Chain Bridge Cellars","1351  Chain Bridge RD","McLean","VA","22101","Beer Shipper - In State (Industry)",
"082868","Chateau MerrillAnne","16234  Marquis RD","Orange","VA","22960","Beer Shipper - In State (Industry)",
"027641","Chateau Morrisette","287  Winery RD","Floyd","VA","24091","Beer Shipper - In State (Industry)",
"057537","Chateau OBrien at Northpoint","3238  Railstop RD","Markham","VA","22643","Beer Shipper - In State (Industry)",
"044069","Chatham Vineyards & Winery","9232  Chatham RD","Machipongo","VA","23405","Beer Shipper - In State (Industry)",
"046037","Chester Gap Cellers","4615  Remount RD","Front Royal","VA","22630-5868","Beer Shipper - In State (Industry)",
"066312","Chestnut Oak Vineyard LLC","5050  Stony Point RD","Barboursville","VA","22923","Beer Shipper - In State (Industry)",
"751538","Chisholm Vineyard","1135  Clan Chisholm LN","Earlysville","VA","22936","Beer Shipper - In State (Industry)",
"134399","Chiswell Farm and Winery","430  Greenwood RD","Greenwood","VA","22943","Beer Shipper - In State (Industry)",
"029060","Chrysalis Vineyards LLC","23876  Champe Ford RD","Middleburg","VA","20117-2942","Beer Shipper - In State (Industry)",
"133154","Ciders from Mars","121 S Lewis ST","Staunton","VA","24401","Beer Shipper - In State (Industry)",
"135197","City Vino","100  Hanover ST","Fredericksburg","VA","22401","Beer Shipper - In State (Industry)",
"097362","Cobbler Mountain Cider","5909  Long Fall LN","Delaplane","VA","20144","Beer Shipper - In State (Industry)",
"133987","Common Wealth Crush","1010 E Main ST","Waynesboro","VA","22980-5855","Beer Shipper - In State (Industry)",
"133878","Commonwealth Brewing Co","2444  Pleasure House RD","Virginia Beach","VA","23455","Beer Shipper - In State (Industry)",
"088396","Courthouse Creek Cidery","1581  Maidens RD","Maidens","VA","23102","Beer Shipper - In State (Industry)",
"092143","Coyote Hole Ciderworks LLC","225  Oak Grove DR","Mineral","VA","23117","Beer Shipper - In State (Industry)",
"133123","Craft Beer Cellar","3813  Wards RD","Lynchburg","VA","24502","Beer Shipper - In State (Industry)",
"133134","Crimson Lane Vineyards LLC","13334  Crimson LN","Linden","VA","22642","Beer Shipper - In State (Industry)",
"753443","Cross Keys Vineyards","6011 E Timber Ridge RD","Mt Crawford","VA","22841","Beer Shipper - In State (Industry)",
"755051","Crush Pad Wines","118 W Main ST","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"065191","Crushed LLC","37938  Charles Town PIKE","Hillsboro","VA","20132-2931","Beer Shipper - In State (Industry)",
"088732","Cunningham Creek Winery","3304  Ruritan Lake RD","Palmyra","VA","22963","Beer Shipper - In State (Industry)",
"134566","Daring Wine Company, LLC.","621  Kelly Mill RD","Stuart","VA","24171","Beer Shipper - In State (Industry)",
"038322","Davis Valley Winery and Vineyard","1167  Davis Valley RD","Rural Retreat","VA","24368","Beer Shipper - In State (Industry)",
"082409","DeMello Vineyards","1948  Quicksburg RD","Quicksburg","VA","22847-1257","Beer Shipper - In State (Industry)",
"089490","DelFosse Vineyard And Winery","500  Del Fosse Winery LN","Faber","VA","22938","Beer Shipper - In State (Industry)",
"065845","Delaplane Cellars","2187  Winchester RD","Delaplane","VA","20144","Beer Shipper - In State (Industry)",
"094744","Ditchley Cider Works Inc","1571  Ditchley RD","Kilmarnock","VA","22482","Beer Shipper - In State (Industry)",
"756341","Dividing Creek Beer Company","160 N Loudoun ST","Winchester","VA","22601","Beer Shipper - In State (Industry)",
"133542","Dogwood & Thistle Wine Company","14480  Savage CT","Glen Allen","VA","23059","Beer Shipper - In State (Industry)",
"134445","Domaine Fortier","13235  Milltown RD","Lovettsville","VA","20180","Beer Shipper - In State (Industry)",
"054000","Doukenie Winery","14727  Mountain RD","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"135997","Draksha LLC","18050  Tranquility RD","Purcellville","VA","20132","Beer Shipper - In State (Industry)",
"067444","DuCard Vineyards Inc","40  Gibson Hollow LN","Etlan","VA","22719","Beer Shipper - In State (Industry)",
"754319","Dynasty Brewing Company","21140  Ashburn Crossing DR","Ashburn","VA","20147-6191","Beer Shipper - In State (Industry)",
"078423","Early Mountain Vineyards","6109  Wolftown Hood RD","Madison","VA","22727","Beer Shipper - In State (Industry)",
"751487","Eastwood Farm and Winery LLC","2531  Scottsville RD","Charlottesville","VA","22902","Beer Shipper - In State (Industry)",
"095670","Effingham Manor","14325  Trotters Ridge PL","Nokesville","VA","20181","Beer Shipper - In State (Industry)",
"136165","Eleven Eleven Brewing Co","725 E Main ST","Purcellville","VA","20132","Beer Shipper - In State (Industry)",
"082587","Fabbioli Cellars","15669  Limestone School RD","Leesburg","VA","20176-5905","Beer Shipper - In State (Industry)",
"135983","Fallen Tree Vineyards and Farm LLC","4593  4593 Clark RD","Crozet","VA","22932","Beer Shipper - In State (Industry)",
"134749","Farm de Vine","15960  Short Hill RD","Hillsboro","VA","20132","Beer Shipper - In State (Industry)",
"133432","Feast","416 W Main ST","Charlottesville","VA","22903","Beer Shipper - In State (Industry)",
"087920","Fifty-Third Winery and Vineyard","13372  Shannon Hill RD","Louisa","VA","23093","Beer Shipper - In State (Industry)",
"136281","Flight Wine Shop","269  19th CT","Arlington","VA","22202","Beer Shipper - In State (Industry)",
"097024","Flying Fox Vineyards","10368  Critzer Shop RD","Afton","VA","22920","Beer Shipper - In State (Industry)",
